titulo,link,empresa,localizacao,descricao,salario,beneficios,nivel_experiencia,modalidade,data_publicacao,tecnologias_detectadas,faixa_salarial,nivel_categorizado,tipo_empresa
Vendedor Híbrido na Zona Central (Pisos Laminados e Vinílicos) - 5069,https://www.catho.com.br/vagas/vendedor-hibrido-na-zona-central-pisos-laminados-e-vinilicos-5069/31465948/,Não informada,Home Office,"Atendimento ao cliente (presencial e remoto).
Visitas técnicas (avaliação de contrapiso e medição).
Montagem de propostas no sistema.
Controle de orçamentos no CRM.
Nos dias de plantão, atuação presencial na loja, sendo responsável pela abertura e fechamento da unidade.
Nos demais dias, pode atuar em home office e realizar visitas externas. Ensino Médio completo.
Experiência em vendas (qualquer segmento).
Notebook para uso profissional.
Conhecimentos obrigatórios:Medições de ambientesLevantamento de área de plantas
Medições de ambientes
Levantamento de área de plantas
Diferenciais:Experiência na venda de pisosCNH B e veículo próprio (não obrigatório, mas desejável)
Experiência na venda de pisos
CNH B e veículo próprio (não obrigatório, mas desejável)","De R$ 2.001,00 a R$ 3.000,00","Ir para o conteúdo
Anunciar vagas grátis
Cadastrar CV grátis
Entrar
Menu
Seu novo emprego está na palma das suas mãos! Baixe nosso app e obtenha vantagens :)
Vaga de Vendedor Híbrido na Zona Central (Pisos Laminados e Vinílicos) - 5069
1 vaga: | CLT (Efetivo) | Publicada em 12/06
De R$ 2.001,00 a R$ 3.000,00
São Paulo - SP (1)
Sobre a vaga
Atendimento ao cliente (presencial e remoto).
Visitas técnicas (avaliação de contrapiso e medição).
Montagem de propostas no sistema.
Controle de orçamentos no CRM.
Nos dias de plantão, atuação presencial na loja, sendo responsável pela abertura e fechamento da unidade.
Nos demais dias, pode atuar em home office e realizar visitas externas. Ensino Médio completo.
Experiência em vendas (qualquer segmento).
Notebook para uso profissional.
Conhecimentos obrigatórios:Medições de ambientesLevantamento de área de plantas
Medições de ambientes
Levantamento de área de plantas
Diferenciais:Experiência na venda de pisosCNH B e veículo próprio (não obrigatório, mas desejável)
Experiência na venda de pisos
CNH B e veículo próprio (não obrigatório, mas desejável)
compartilhar
Benefícios

Celular fornecido pela empresa

Regime de Contratação

CLT (Efetivo)

Dados da Empresa
EMPRESA CONFIDENCIAL

Por que esta empresa é confidencial?
Quero me candidatar
Vagas parecidas com esta
Vendedor
Hoje
REDE BRASIL STUDIO
1 vaga em São Paulo (São Paulo)
De R$ 2.001,00 a R$ 3.000,00
Principais Atividades: - Atendimento ao cliente/aluno (presencial, via WhatsApp e telefone) - Esclarecimento de dúvidas e orientações - Recepção de alunos e organização do…
Vendedor
Hoje
RENOVAÇÃO ESPORTE
1 vaga em São Paulo (São Paulo)
De R$ 2.001,00 a R$ 3.000,00
Realizar prospecção de novos clientes Atender e realizar follow-up de clientes atuais Elaborar propostas comerciais Negociar condições comerciais Acompanhar o pós-venda Manter-se…
Vendedor
Hoje
R.H. RIBAS JOIAS
1 vaga em São Paulo (São Paulo)
Até R$ 2.000,00
Atender clientes com simpatia. Fazer vendas e registrar no sistema da loja. Manter a loja organizada e as vitrines arrumadas. Fazer pós venda, oferecendo novos produtos…
Institucional
Sobre Nós
Certificação de Qualidade
Compliance
Mapa do Site
Ajuda
Contato
Para candidatos
Criar Currículo Grátis
Buscar Vagas
Vagas por Área/cargo
Vagas por Estado
Planos Catho
Blog Carreira e Sucesso
Calculadoras Trabalhistas
Guia de Profissões
Modelos de Currículo
Termos e Condições de Uso
Para empresas
Cadastrar Empresa
Anunciar Vagas Grátis
Planos Catho Empresas
Blog Para Empresas
Busca de currículos
Pesquisa salarial
Recrutamento PcD
Termos e Condições de Uso
Vem com a gente nas redes sociais!
Catho Online Ltda.
CNPJ: 03.753.088/0001-00
Alameda Grajaú, 60 Barueri -
SP
- 06454-050
Política de Privacidade","Ir para o conteúdo
Anunciar vagas grátis
Cadastrar CV grátis
Entrar
Menu
Seu novo emprego está na palma das suas mãos! Baixe nosso app e obtenha vantagens :)
Vaga de Vendedor Híbrido na Zona Central (Pisos Laminados e Vinílicos) - 5069
1 vaga: | CLT (Efetivo) | Publicada em 12/06
De R$ 2.001,00 a R$ 3.000,00
São Paulo - SP (1)
Sobre a vaga
Atendimento ao cliente (presencial e remoto).
Visitas técnicas (avaliação de contrapiso e medição).
Montagem de propostas no sistema.
Controle de orçamentos no CRM.
Nos dias de plantão, atuação presencial na loja, sendo responsável pela abertura e fechamento da unidade.
Nos demais dias, pode atuar em home office e realizar visitas externas. Ensino Médio completo.
Experiência em vendas (qualquer segmento).
Notebook para uso profissional.
Conhecimentos obrigatórios:Medições de ambientesLevantamento de área de plantas
Medições de ambientes
Levantamento de área de plantas
Diferenciais:Experiência na venda de pisosCNH B e veículo próprio (não obrigatório, mas desejável)
Experiência na venda de pisos
CNH B e veículo próprio (não obrigatório, mas desejável)
compartilhar
Benefícios

Celular fornecido pela empresa

Regime de Contratação

CLT (Efetivo)

Dados da Empresa
EMPRESA CONFIDENCIAL

Por que esta empresa é confidencial?
Quero me candidatar
Vagas parecidas com esta
Vendedor
Hoje
REDE BRASIL STUDIO
1 vaga em São Paulo (São Paulo)
De R$ 2.001,00 a R$ 3.000,00
Principais Atividades: - Atendimento ao cliente/aluno (presencial, via WhatsApp e telefone) - Esclarecimento de dúvidas e orientações - Recepção de alunos e organização do…
Vendedor
Hoje
RENOVAÇÃO ESPORTE
1 vaga em São Paulo (São Paulo)
De R$ 2.001,00 a R$ 3.000,00
Realizar prospecção de novos clientes Atender e realizar follow-up de clientes atuais Elaborar propostas comerciais Negociar condições comerciais Acompanhar o pós-venda Manter-se…
Vendedor
Hoje
R.H. RIBAS JOIAS
1 vaga em São Paulo (São Paulo)
Até R$ 2.000,00
Atender clientes com simpatia. Fazer vendas e registrar no sistema da loja. Manter a loja organizada e as vitrines arrumadas. Fazer pós venda, oferecendo novos produtos…
Institucional
Sobre Nós
Certificação de Qualidade
Compliance
Mapa do Site
Ajuda
Contato
Para candidatos
Criar Currículo Grátis
Buscar Vagas
Vagas por Área/cargo
Vagas por Estado
Planos Catho
Blog Carreira e Sucesso
Calculadoras Trabalhistas
Guia de Profissões
Modelos de Currículo
Termos e Condições de Uso
Para empresas
Cadastrar Empresa
Anunciar Vagas Grátis
Planos Catho Empresas
Blog Para Empresas
Busca de currículos
Pesquisa salarial
Recrutamento PcD
Termos e Condições de Uso
Vem com a gente nas redes sociais!
Catho Online Ltda.
CNPJ: 03.753.088/0001-00
Alameda Grajaú, 60 Barueri -
SP
- 06454-050
Política de Privacidade","Principais Atividades: - Atendimento ao cliente/aluno (presencial, via WhatsApp e telefone) - Esclarecimento de dúvidas e orientações - Recepção de alunos e organização do…","Ir para o conteúdo
Anunciar vagas grátis
Cadastrar CV grátis
Entrar
Menu
Seu novo emprego está na palma das suas mãos! Baixe nosso app e obtenha vantagens :)
Vaga de Vendedor Híbrido na Zona Central (Pisos Laminados e Vinílicos) - 5069
1 vaga: | CLT (Efetivo) | Publicada em 12/06
De R$ 2.001,00 a R$ 3.000,00
São Paulo - SP (1)
Sobre a vaga
Atendimento ao cliente (presencial e remoto).
Visitas técnicas (avaliação de contrapiso e medição).
Montagem de propostas no sistema.
Controle de orçamentos no CRM.
Nos dias de plantão, atuação presencial na loja, sendo responsável pela abertura e fechamento da unidade.
Nos demais dias, pode atuar em home office e realizar visitas externas. Ensino Médio completo.
Experiência em vendas (qualquer segmento).
Notebook para uso profissional.
Conhecimentos obrigatórios:Medições de ambientesLevantamento de área de plantas
Medições de ambientes
Levantamento de área de plantas
Diferenciais:Experiência na venda de pisosCNH B e veículo próprio (não obrigatório, mas desejável)
Experiência na venda de pisos
CNH B e veículo próprio (não obrigatório, mas desejável)
compartilhar
Benefícios

Celular fornecido pela empresa

Regime de Contratação

CLT (Efetivo)

Dados da Empresa
EMPRESA CONFIDENCIAL

Por que esta empresa é confidencial?
Quero me candidatar
Vagas parecidas com esta
Vendedor
Hoje
REDE BRASIL STUDIO
1 vaga em São Paulo (São Paulo)
De R$ 2.001,00 a R$ 3.000,00
Principais Atividades: - Atendimento ao cliente/aluno (presencial, via WhatsApp e telefone) - Esclarecimento de dúvidas e orientações - Recepção de alunos e organização do…
Vendedor
Hoje
RENOVAÇÃO ESPORTE
1 vaga em São Paulo (São Paulo)
De R$ 2.001,00 a R$ 3.000,00
Realizar prospecção de novos clientes Atender e realizar follow-up de clientes atuais Elaborar propostas comerciais Negociar condições comerciais Acompanhar o pós-venda Manter-se…
Vendedor
Hoje
R.H. RIBAS JOIAS
1 vaga em São Paulo (São Paulo)
Até R$ 2.000,00
Atender clientes com simpatia. Fazer vendas e registrar no sistema da loja. Manter a loja organizada e as vitrines arrumadas. Fazer pós venda, oferecendo novos produtos…
Institucional
Sobre Nós
Certificação de Qualidade
Compliance
Mapa do Site
Ajuda
Contato
Para candidatos
Criar Currículo Grátis
Buscar Vagas
Vagas por Área/cargo
Vagas por Estado
Planos Catho
Blog Carreira e Sucesso
Calculadoras Trabalhistas
Guia de Profissões
Modelos de Currículo
Termos e Condições de Uso
Para empresas
Cadastrar Empresa
Anunciar Vagas Grátis
Planos Catho Empresas
Blog Para Empresas
Busca de currículos
Pesquisa salarial
Recrutamento PcD
Termos e Condições de Uso
Vem com a gente nas redes sociais!
Catho Online Ltda.
CNPJ: 03.753.088/0001-00
Alameda Grajaú, 60 Barueri -
SP
- 06454-050
Política de Privacidade",[],"{'min': 2001.0, 'max': 3000.0, 'original': 'De R$ 2.001,00 a R$ 3.000,00'}",nao_especificado,educacao
Home office,https://www.catho.com.br/vagas/home-office/32134363/,Não informada,Home Office,"Estamos em busca de um profissional dedicado e com habilidades comprovadas para se juntar ao nosso time de trabalho remoto.
Buscamos alguém que possa contribuir de forma efetiva para o nosso projeto, utilizando suas habilidades de comunicação e organização.
O candidato ideal deve ser capaz de gerenciar seu próprio tempo e entregar resultados de alta qualidade, mesmo sem a presença física no escritório.
É essencial que você tenha uma boa capacidade de comunicação, tanto escrita quanto oral, e que possa colaborar com outros membros da equipe de forma produtiva.
Além disso, é importante que você tenha uma forte ética de trabalho e seja capaz de gerenciar múltiplas tarefas ao mesmo tempo.

Nossa empresa valoriza a flexibilidade e a autogestão, e espera que você possa se adaptar às demandas do projeto de forma dinâmica.
O trabalho será realizado em um ambiente home office, e você deve ter acesso a uma conexão estável à internet para garantir que todas as comunicações e entregas sejam feitas em tempo hábil.

Se você é um profissional que busca um ambiente de trabalho flexível e que valoriza a autonomia, esta oportunidade pode ser perfeita para você.
Estamos à procura de alguém que não apenas complete tarefas, mas que contribua ativamente para o sucesso do nosso projeto.

Interessados devem enviar seu currículo e uma breve descrição de suas experiências e habilidades relevantes para a posição.",A combinar,,"Ir para o conteúdo
Anunciar vagas grátis
Cadastrar CV grátis
Entrar
Menu
Seu novo emprego está na palma das suas mãos! Baixe nosso app e obtenha vantagens :)
Vaga de Home office
1 vaga: | Publicada em 14/06
A combinar
Campo Grande - MS (1)
Sobre a vaga
Estamos em busca de um profissional dedicado e com habilidades comprovadas para se juntar ao nosso time de trabalho remoto.
Buscamos alguém que possa contribuir de forma efetiva para o nosso projeto, utilizando suas habilidades de comunicação e organização.
O candidato ideal deve ser capaz de gerenciar seu próprio tempo e entregar resultados de alta qualidade, mesmo sem a presença física no escritório.
É essencial que você tenha uma boa capacidade de comunicação, tanto escrita quanto oral, e que possa colaborar com outros membros da equipe de forma produtiva.
Além disso, é importante que você tenha uma forte ética de trabalho e seja capaz de gerenciar múltiplas tarefas ao mesmo tempo.

Nossa empresa valoriza a flexibilidade e a autogestão, e espera que você possa se adaptar às demandas do projeto de forma dinâmica.
O trabalho será realizado em um ambiente home office, e você deve ter acesso a uma conexão estável à internet para garantir que todas as comunicações e entregas sejam feitas em tempo hábil.

Se você é um profissional que busca um ambiente de trabalho flexível e que valoriza a autonomia, esta oportunidade pode ser perfeita para você.
Estamos à procura de alguém que não apenas complete tarefas, mas que contribua ativamente para o sucesso do nosso projeto.

Interessados devem enviar seu currículo e uma breve descrição de suas experiências e habilidades relevantes para a posição.
compartilhar
Dados da Empresa
EMPRESA CONFIDENCIAL

Por que esta empresa é confidencial?
Quero me candidatar
Vaga parecida com esta
Agente Comercial
29/05/2025
Michel H Frantz LTDA
1 vaga em Campo Grande (Mato Grosso do Sul)
A combinar
TRABALHE DE QUALQUER LUGAR COM LIBERDADE DE TEMPO E FINANCEIRA Trabalho 100% home office em que o único pré-requisito é ter ambição profissional. Nossa missão é formar do ZERO …
Institucional
Sobre Nós
Certificação de Qualidade
Compliance
Mapa do Site
Ajuda
Contato
Para candidatos
Criar Currículo Grátis
Buscar Vagas
Vagas por Área/cargo
Vagas por Estado
Planos Catho
Blog Carreira e Sucesso
Calculadoras Trabalhistas
Guia de Profissões
Modelos de Currículo
Termos e Condições de Uso
Para empresas
Cadastrar Empresa
Anunciar Vagas Grátis
Planos Catho Empresas
Blog Para Empresas
Busca de currículos
Pesquisa salarial
Recrutamento PcD
Termos e Condições de Uso
Vem com a gente nas redes sociais!
Catho Online Ltda.
CNPJ: 03.753.088/0001-00
Alameda Grajaú, 60 Barueri -
SP
- 06454-050
Política de Privacidade",TRABALHE DE QUALQUER LUGAR COM LIBERDADE DE TEMPO E FINANCEIRA Trabalho 100% home office em que o único pré-requisito é ter ambição profissional. Nossa missão é formar do ZERO …,"Ir para o conteúdo
Anunciar vagas grátis
Cadastrar CV grátis
Entrar
Menu
Seu novo emprego está na palma das suas mãos! Baixe nosso app e obtenha vantagens :)
Vaga de Home office
1 vaga: | Publicada em 14/06
A combinar
Campo Grande - MS (1)
Sobre a vaga
Estamos em busca de um profissional dedicado e com habilidades comprovadas para se juntar ao nosso time de trabalho remoto.
Buscamos alguém que possa contribuir de forma efetiva para o nosso projeto, utilizando suas habilidades de comunicação e organização.
O candidato ideal deve ser capaz de gerenciar seu próprio tempo e entregar resultados de alta qualidade, mesmo sem a presença física no escritório.
É essencial que você tenha uma boa capacidade de comunicação, tanto escrita quanto oral, e que possa colaborar com outros membros da equipe de forma produtiva.
Além disso, é importante que você tenha uma forte ética de trabalho e seja capaz de gerenciar múltiplas tarefas ao mesmo tempo.

Nossa empresa valoriza a flexibilidade e a autogestão, e espera que você possa se adaptar às demandas do projeto de forma dinâmica.
O trabalho será realizado em um ambiente home office, e você deve ter acesso a uma conexão estável à internet para garantir que todas as comunicações e entregas sejam feitas em tempo hábil.

Se você é um profissional que busca um ambiente de trabalho flexível e que valoriza a autonomia, esta oportunidade pode ser perfeita para você.
Estamos à procura de alguém que não apenas complete tarefas, mas que contribua ativamente para o sucesso do nosso projeto.

Interessados devem enviar seu currículo e uma breve descrição de suas experiências e habilidades relevantes para a posição.
compartilhar
Dados da Empresa
EMPRESA CONFIDENCIAL

Por que esta empresa é confidencial?
Quero me candidatar
Vaga parecida com esta
Agente Comercial
29/05/2025
Michel H Frantz LTDA
1 vaga em Campo Grande (Mato Grosso do Sul)
A combinar
TRABALHE DE QUALQUER LUGAR COM LIBERDADE DE TEMPO E FINANCEIRA Trabalho 100% home office em que o único pré-requisito é ter ambição profissional. Nossa missão é formar do ZERO …
Institucional
Sobre Nós
Certificação de Qualidade
Compliance
Mapa do Site
Ajuda
Contato
Para candidatos
Criar Currículo Grátis
Buscar Vagas
Vagas por Área/cargo
Vagas por Estado
Planos Catho
Blog Carreira e Sucesso
Calculadoras Trabalhistas
Guia de Profissões
Modelos de Currículo
Termos e Condições de Uso
Para empresas
Cadastrar Empresa
Anunciar Vagas Grátis
Planos Catho Empresas
Blog Para Empresas
Busca de currículos
Pesquisa salarial
Recrutamento PcD
Termos e Condições de Uso
Vem com a gente nas redes sociais!
Catho Online Ltda.
CNPJ: 03.753.088/0001-00
Alameda Grajaú, 60 Barueri -
SP
- 06454-050
Política de Privacidade",[],,nao_especificado,nao_categorizado
